HOME


The Paramony
An internet version of Biblical References for The Urantia Book
by Duane Faw

Key to Column Headings

1  Pg.Ppg — Refers to page numbering in Urantia Foundation editions of The Urantia Book. Paragraphs are numbered with the first full paragraph from the top of the page and are numbered sequentially down the page.
2  P:S.p — Refers to Paper number, section number within the paper, and the paragraph number within the section. The P:S.p links to the referenced paragraph of the Standardized version of The Urantia Book.
3  Key Words — The words or concepts which, in the mind of the author, connect the Bible and The Urantia Book.
4  Bible Notation — Bible book, such as 1 Corinthians, chapter, and verse numbers. The Bible notation links to the referenced book, chapter and verse of the King James translation of the Bible.
5  Class — Categorizations for references in which:
S = "Same" — Both books recite the same incident.
R = "Refer" — One book quotes from, or refers to an incident contained in, the other.
C = "Compare" — One book relates matter which, although not the same as the other, is significant to reinforce, modify or contradict the other.
1 Pg.Ppg	2 P:S.p	3 Key Words	4 Bible Book Ch:Vs	5 Class
1861:27	170:2.20	Jesus taught "Father's will"+	Mark 14:36	C
1861:27	170:2.20	Jesus taught "Father's will"+	John 7:16	C
1861:27	170:2.20	Jesus taught "Father's will"+	John 14:21	C
1861:27	170:2.20	Jesus taught "Father's will"+	Luke 8:21	C
1861:27	170:2.20	Jesus taught "Father's will"+	Luke 11:2	C
1861:27	170:2.20	Jesus taught "Father's will"+	Mark 3:35	C
1861:27	170:2.20	Jesus taught "Father's will"+	Matthew 6:10	C
1861:27	170:2.20	Jesus taught "Father's will"+	Matthew 7:21	C
1861:27	170:2.20	Jesus taught "Father's will"+	Matthew 12:50	C
1861:27	170:2.20	Jesus taught "Father's will"+	John 9:31	C
1861:27	170:2.20	Jesus taught "Father's will"+	Psalms 143:10	C
1861:27	170:2.20	Jesus taught "Father's will"+	Sirach 15:11	C
1861:28	170:2.20	Friends of God	John 15:13	S
1861:28:	170:2.20	Fellowship of believers	John 12:44	S
1861:28	170:2.20	Brotherhood of man	1 Peter 2:17	S
1861:29	170:2.20	Father's fold	John 10:7	S
1861:29	170:2.20	Father's fold	John 21:15	S
1861:29	170:2.20	Children of God+	Matthew 5:9	S
1861:29	170:2.20	Children of God+	Luke 20:36	S
1861:29	170:2.20	Children of God+	Acts of the Apostles 17:28	C
1861:29	170:2.20	Children of God+	Ephesians 1:5	C
1861:29	170:2.20	Children of God+	Galatians 3:26	C
1861:29	170:2.20	Children of God+	Hebrews 12:5	C
1861:29	170:2.20	Children of God+	Isaiah 56:5	C
1861:29	170:2.20	Children of God+	John 1:12	C
1861:29	170:2.20	Children of God+	John 11:52	C
1861:29	170:2.20	Children of God+	Romans 9:26	C
1861:29	170:2.20	Children of God+	Philippians 2:15	C
1861:29	170:2.20	Children of God+	Psalms 2:7	C
1861:29	170:2.20	Children of God+	Revelation 21:7	C
1861:29	170:2.20	Children of God+	Romans 8:14	C
1861:29	170:2.20	Children of God+	1 Chronicles 22:10	C
1861:29	170:2.20	Children of God+	1 John 3:1	C
1861:29	170:2.20	Children of God+	1 John 5:2	C
1861:29	170:2.20	Children of God+	2 Corinthians 6:18	C
1861:29	170:2.20	Children of God+	2 Samuel 7:14	C
1861:29	170:2.20	Children of God+	Galatians 4:5	C
1861:29	170:2.20	Fellowship of faithful	1 John 1:3	S
1861:29	170:2.20	Fellowship of faithful	Acts of the Apostles 2:42	S
1861:29-30	170:2.20	Father's service	John 12:26	S
1861:30	170:2.20	Liberated sons of God+	Romans 8:14	C
1861:30	170:2.20	Liberated sons of God+	1 John 3:1	C
1861:30	170:2.20	Liberated sons of God+	Acts of the Apostles 17:28	C
1861:30	170:2.20	Liberated sons of God+	Ephesians 1:5	C
1861:30	170:2.20	Liberated sons of God+	Galatians 3:26	C
1861:30	170:2.20	Liberated sons of God+	Galatians 4:5	C
1861:30	170:2.20	Liberated sons of God+	Hebrews 12:5	C
1861:30	170:2.20	Liberated sons of God+	Isaiah 56:5	C
1861:30	170:2.20	Liberated sons of God+	John 1:12	C
1861:30	170:2.20	Liberated sons of God+	John 11:52	C
1861:30	170:2.20	Liberated sons of God+	Luke 20:36	C
1861:30	170:2.20	Liberated sons of God+	Matthew 5:9	C
1861:30	170:2.20	Liberated sons of God+	Philippians 2:15	C
1861:30	170:2.20	Liberated sons of God+	Psalms 2:7	C
1861:30	170:2.20	Liberated sons of God+	Revelation 21:7	C
1861:30	170:2.20	Liberated sons of God+	Romans 9:26	C
1861:30	170:2.20	Liberated sons of God+	1 Chronicles 22:10	C
1861:30	170:2.20	Liberated sons of God+	1 John 5:2	C
1861:30	170:2.20	Liberated sons of God+	2 Corinthians 6:18	C
1861:30	170:2.20	Liberated sons of God+	2 Samuel 7:14	C
1861:37-40	170:3.1	Righteousness by faith	Matthew 5:20	S
1861:41-42	170:3.2	Simple childlike belief	Matthew 18:2	S
1861:41-42	170:3.2	Simple childlike belief	Mark 10:13	S
1861:41-42	170:3.2	Simple childlike belief	Luke 18:16	S
1861:41-42	170:3.2	Simple childlike belief	Mark 9:36	S
1861:41-42	170:3.2	Simple childlike belief	Matthew 19:13	S
1861:41-42	170:3.2	Simple childlike belief	Luke 9:47	S
1861:42-44	170:3.2	Also need righteousness+	Acts of the Apostles 10:35	S
1861:42-44	170:3.2	Also need righteousness+	James 2:14	S
1861:42-44	170:3.2	Also need righteousness+	Matthew 5:6	S
1862:05-06	170:3.4	We are forgiven as we forgive+	Matthew 6:12	S
1862:05-06	170:3.4	We are forgiven as we forgive+	Matthew 18:21	S
1862:05-06	170:3.4	We are forgiven as we forgive+	Mark 11:25	S
1862:05-06	170:3.4	We are forgiven as we forgive+	Luke 6:37	S
1862:05-06	170:3.4	We are forgiven as we forgive+	Luke 11:4	S
1862:05-06	170:3.4	We are forgiven as we forgive+	Ephesians 4:32	S
1862:05-06	170:3.4	We are forgiven as we forgive+	Luke 17:3	S
1862:05-06	170:3.4	We are forgiven as we forgive+	Sirach 28:1	S
1862:05-06	170:3.4	We are forgiven as we forgive+	1 John 2:12	S
1862:08	170:3.6	Love thy neighbor	Matthew 19:19	S
1862:08	170:3.6	Love thy neighbor	Matthew 22:39	S
1862:08	170:3.6	Love thy neighbor	Mark 12:31	S
1862:08	170:3.6	Love thy neighbor	Luke 10:27	S
1862:08	170:3.6	Love thy neighbor	Galatians 5:14	S
1862:08	170:3.6	Love thy neighbor	James 2:8	S
1862:08	170:3.6	Love thy neighbor	Leviticus 19:18	S
1862:08	170:3.6	Love thy neighbor	Romans 13:9	S
1862:08	170:3.6	Love thy neighbor	Matthew 5:43	S
1862:13-14	170:3.8	Loving service+	Matthew 20:26	S
1862:13-14	170:3.8	Loving service+	Matthew 23:11	S
1862:13-14	170:3.8	Loving service+	Mark 9:35	S
1862:13-14	170:3.8	Loving service+	Mark 10:43	S
1862:13-14	170:3.8	Loving service+	Luke 22:26	S
1862:35	170:3.11	New view: kingdom within	Luke 17:21	S
1863:42-47	170:4.6	End times	Matthew 24:29	C
1863:42-47	170:4.6	End times	Mark 13:24	C
1863:42-47	170:4.6	End times	Luke 21:25	C
1863:42-47	170:4.6	End times	Daniel 12:1	C
1864:08-11	170:5.2	Natural as shadow of spiritual	Colossians 2:16	S
1864:08-11	170:5.2	Natural as shadow of spiritual	Hebrews 8:4	S
1864:08-11	170:5.2	Natural as shadow of spiritual	Hebrews 10:1	S
1864:25-28	170:5.6	Jesus as Redeemer of church+	Acts of the Apostles 20:28	C
1864:25-28	170:5.6	Jesus as Redeemer of church+	Colossians 1:14	C
1864:25-28	170:5.6	Jesus as Redeemer of church+	Ephesians 1:7	C
1864:25-28	170:5.6	Jesus as Redeemer of church+	Galatians 3:13	C
1864:25-28	170:5.6	Jesus as Redeemer of church+	Galatians 4:4	C
1864:25-28	170:5.6	Jesus as Redeemer of church+	Hebrews 9:12	C
1864:25-28	170:5.6	Jesus as Redeemer of church+	Romans 3:24	C
1864:25-28	170:5.6	Jesus as Redeemer of church+	Titus 2:13	C
1864:25-28	170:5.6	Jesus as Redeemer of church+	1 Peter 1:18	C
1864:29-33	170:5.7	Paul's institutionalized church+	Ephesians 5:21	C
1864:29-33	170:5.7	Paul's institutionalized church+	1 Corinthians 12:12	C
1864:29-33	170:5.7	Paul's institutionalized church+	Romans 12:4	C
1864:29-33	170:5.7	Paul's institutionalized church+	Colossians 2:17	C
1864:34-37	170:5.8	Kingdom within hearts will spread	Luke 17:21	S
1865:14-16	170:5.13	Admission by faith	Matthew 11:28	S
1865:14-16	170:5.13	Admission by faith	John 7:37	S
1865:14-16	170:5.13	Hunger & thirst for righteousness	Matthew 5:6	S
1865:14-16	170:5.13	Hunger & thirst for righteousness	Luke 6:21	S
1865:14-16	170:5.13	Admission by faith	Acts of the Apostles 16:30	S
1865:16-17	170:5.13	Baptism, admission to social order+	Acts of the Apostles 2:38	C
1865:16-17	170:5.13	Baptism, admission to social order+	Acts of the Apostles 8:12	C
1865:16-17	170:5.13	Baptism, admission to social order+	Galatians 3:27	C
1865:16-17	170:5.13	Baptism, admission to social order+	1 Corinthians 15:9	C
1865:29-31	170:5.15	View on end of time	Daniel 7:27	S
1865:45-46	170:5.17	Christ became "head of church"	Colossians 1:18	S
1865:45-46	170:5.17	Christ became "head of church"	Ephesians 5:23	S
1865:45-46	170:5.17	Christ became "head of church"	1 Corinthians 11:3	S
1865:45-46	170:5.17	Elder brother of believers	Matthew 12:50	S
1865:45-46	170:5.17	Elder brother of believers	Mark 3:35	S
1865:45-46	170:5.17	Elder brother of believers	Luke 8:21	S
1866:07	170:5.19	Kingdom of God is at hand	Mark 1:15	R
1866:07	170:5.19	Kingdom of God is at hand	Matthew 3:2	R
1866:07	170:5.19	Kingdom of God is at hand	Luke 21:31	R
1866:07	170:5.19	Kingdom of God is at hand	Matthew 10:7	R
1867:03	171:0.1	Sermon on the kingdom	Matthew 13:3	S
1867:03	171:0.1	Kingdom of Heaven+	Matthew 4:17	C
1867:03	171:0.1	Kingdom of Heaven+	Matthew 5:3	C
1867:03	171:0.1	Kingdom of Heaven+	Matthew 10:7	C
1867:03	171:0.1	Kingdom of Heaven+	Matthew 11:11	C
1867:03	171:0.1	Kingdom of Heaven+	Matthew 13:11	R
1867:03	171:0.1	Kingdom of Heaven+	Matthew 18:1	C
1867:03	171:0.1	Kingdom of Heaven+	Matthew 25:1	C
1867:03	171:0.1	Kingdom of Heaven+	Matthew 3:2	C
1867:03	171:0.1	Kingdom of Heaven+	Matthew 7:21	C
1867:03	171:0.1	Kingdom of Heaven+	Matthew 8:11	C
1867:03	171:0.1	Kingdom of Heaven+	Matthew 16:19	C
1867:03	171:0.1	Kingdom of Heaven+	Matthew 19:14	C
1867:03	171:0.1	Kingdom of Heaven+	Matthew 20:1	C
1867:03	171:0.1	Kingdom of Heaven+	Matthew 22:2	C
1867:03	171:0.1	Kingdom of Heaven+	Matthew 23:13	C
1867:15-16	171:0.3	Kingdom of heaven within you	Luke 17:21	R
1867:23-31	171:0.4	Mother requests favored seats	Mark 10:35	S
1867:23-41	171:0.4	Mother requests favored seats	Matthew 20:20	S
1867:32-45	171:0.5	Jesus denies request	Matthew 20:22	S
1867:32-45	171:0.5	Jesus denies request	Mark 10:38	S
1868:06-17	171:0.6	Jesus calms apostles	Matthew 20:24	S
1868:06-17	171:0.6	Jesus calms apostles	Mark 10:41	S
1869:29-33	171:2.1	Jesus addresses crowd	Luke 14:25	S
1869:30	171:2.1	Where this happened	John 1:28	S
1869:34-40	171:2.2	Talk on counting the cost	Luke 14:26	S
1869:34-40	171:2.2	Talk on counting the cost	Matthew 10:21	S
1869:41	171:2.3	You who follow must pay price	Luke 14:27	S
1869:41	171:2.3	You who follow must pay price	Luke 9:23	S
1869:41	171:2.3	You who follow must pay price	Mark 8:34	S
1869:41	171:2.3	You who follow must pay price	Matthew 10:38	S
1869:41	171:2.3	You who follow must pay price	Matthew 16:24	S
1869:42-48	171:2.3	Cost of watchtower	Luke 14:28	S
1870:01-06	171:2.3	Cost of war	Luke 14:31	S
1870:10-12	171:2.4	Total commitment+	Luke 14:33	S
1870:10-12	171:2.4	Total commitment+	Luke 9:59	S
1870:10-12	171:2.4	Total commitment+	Luke 18:22	S
1870:10-12	171:2.4	Total commitment+	Matthew 8:21	S
1870:10-12	171:2.4	Total commitment+	Matthew 19:21	S
1870:10-12	171:2.4	Total commitment+	Mark 10:21	S
1870:16-24	171:2.5	Unworthy motives	Luke 14:33	S
1870:17-20	171:2.5	Salt which loses savor	Matthew 5:13	S
1870:17-20	171:2.5	Salt which loses savor	Mark 9:50	S
1870:17-20	171:2.5	Salt which loses savor	Luke 14:34	S
1871:15-16	171:3.5	The resurrection & the life	John 11:25	R
1871:30-42	171:4.2	Warning: crucifixion, resurrection+	Matthew 20:17	S
1871:30-42	171:4.2	Warning: crucifixion, resurrection+	Mark 10:32	S
1871:30-42	171:4.2	Warning: crucifixion, resurrection+	Luke 18:31	S
1871:30-42	171:4.2	Warning: crucifixion, resurrection+	Matthew 16:21	S
1871:30-42	171:4.2	Warning: crucifixion, resurrection+	Luke 9:22	S
1871:30-42	171:4.2	Warning: crucifixion, resurrection+	Mark 8:31	S
1871:30-42	171:4.2	Warning: crucifixion, resurrection+	Matthew 17:22	S
1871:30-42	171:4.2	Warning: crucifixion, resurrection+	Mark 9:31	S
1871:30-42	171:4.2	Warning: crucifixion, resurrection+	Luke 24:7	S
1871:30-42	171:4.2	Warning: crucifixion, resurrection+	John 14:28	C
1871:30-42	171:4.2	Warning: crucifixion, resurrection+	John 20:9	S
1871:30-42	171:4.2	Warning: crucifixion, resurrection+	Matthew 27:63	S
1871:43-48	171:4.3	Apostles do not understand	Luke 18:34	S
1871:43-48	171:4.3	Apostles do not understand	Luke 9:45	S
1871:43-48	171:4.3	Apostles do not understand	Mark 9:32	S
1872:05-08	171:4.4	Jesus is warned of plot to kill	Luke 13:31	S
1872:18-21	171:4.6	Jesus' message to Herod	Luke 13:32	S
1872:22-30	171:4.7	Talk to apostles	Luke 13:33	S
1872:25-30	171:4.7	Jesus grieves over Jerusalem	Matthew 23:37	S
1872:38	171:4.8	Rising on third day+	Matthew 20:19	C
1872:38	171:4.8	Rising on third day+	Mark 10:34	S
1872:38	171:4.8	Rising on third day+	Luke 18:33	S
1872:38	171:4.8	Rising on third day+	John 20:9	C
1872:38	171:4.8	Rising on third day+	Matthew 16:21	C
1872:38	171:4.8	Rising on third day+	Luke 9:22	C
1872:38	171:4.8	Rising on third day+	Luke 24:7	C
1872:38	171:4.8	Rising on third day+	Mark 8:31	C
1872:38	171:4.8	Rising on third day+	Mark 9:31	C
1872:38	171:4.8	Rising on third day+	Matthew 17:23	C
1872:38	171:4.8	Rising on third day+	Matthew 27:63	S
1873:02-03	171:5.1	Followers left Jericho	Matthew 20:29	S
1873:02-05	171:5.1	Man blind from youth	Mark 10:46	S
1873:02-05	171:5.1	Man blind from youth	Luke 18:35	S
1873:16-20	171:5.2	Blind man is rebuked	Mark 10:47	S
1873:16-20	171:5.2	Blind man is rebuked	Luke 18:36	S
1873:16-20	171:5.2	Blind man is rebuked	Matthew 20:30	S
1873:21-32	171:5.3	Sight restored by faith	Mark 10:49	S
1873:21-32	171:5.3	Sight restored by faith	Luke 18:40	S
1873:21-32	171:5.3	Sight restored by faith	Matthew 20:32	S
1873:34-47	171:6.1	Zaccheus up a tree	Luke 19:1	S
1874:01-06	171:6.1	Jesus invites self to visit	Luke 19:5	S
1874:07-17	171:6.2	Zaccheus' conversion	Luke 19:7	S
1874:20-24	171:6.3	Jesus came to save lost	Luke 19:9	S
1874:29-30	171:7.1	Full of grace and truth	John 1:14	S
1874:46-47	171:7.5	As Jesus passed by	John 9:1	R
1874:46-47	171:7.5	As Jesus passed by	Mark 2:14	R
1874:46-47	171:7.5	As Jesus passed by	Matthew 20:30	R
1874:46-47	171:7.5	As Jesus passed by	Mark 11:20	R
1875:13-14	171:7.8	Woman's faith healed her	Matthew 9:20	S
1875:13-14	171:7.8	Woman's faith healed her	Mark 5:25	S
1875:13-14	171:7.8	Woman's faith healed her	Luke 8:43	S
1875:20	171:7.9	As Jesus passed by	Mark 2:14	R
1875:20	171:7.9	As Jesus passed by	Mark 11:20	R
1875:20	171:7.9	As Jesus passed by	Matthew 20:30	R
1875:20	171:7.9	As Jesus passed by	John 9:1	R
1875:23	171:7.9	Jesus went about doing good	Acts of the Apostles 10:38	R
1875:40-45	171:8.3	Parable of pounds	Luke 19:11	S
1876:07-12	171:8.4	Parable of pounds, cont.	Luke 19:13	S
1876:13-15	171:8.5	Parable of pounds, cont.	Luke 19:15	S
1876:15-31	171:8.6	Parable of Pounds, cont.	Luke 19:15	S
1876:15-31	171:8.6	Parable of Pounds, cont.	Matthew 25:19	S
1876:32-36	171:8.7	Parable of Pounds, concluded.	Luke 19:24	S
1876:32-36	171:8.7	Parable of Pounds, concluded	Matthew 25:28	S
1877:09-10	171:8.15	Resumed journey	Luke 19:28	S
1878:16-18	172:0.3	The plot	John 11:57	S
1878:23-25	172:0.3	Many people there to see Jesus	John 12:9	S
1878:27-28	172:1.1	Officials speculate about visit	John 11:55	S
1878:34-36	172:1.2	The banquet	Matthew 26:6	S
1878:34-36	172:1.2	The banquet	Mark 14:3	S
1878:34-36	172:1.2	The banquet	John 12:1	S
1879:03	172:1.3	Jericho's walls	Joshua 6:20	C
1879:10-17	172:1.5	Anointment of Jesus by woman	John 11:2	S
1879:10-21	172:1.5	Anointment of Jesus by woman	Matthew 26:7	S
1879:10-21	172:1.5	Anointment of Jesus by woman	Mark 14:3	S
1879:10-21	172:1.5	Anointment of Jesus by woman	John 12:3	S
1879:22-29	172:1.6	Jesus defends Mary	John 12:7	S
1879:22-37	172:1.6	Jesus defends Mary	Matthew 26:10	S
1879:22-37	172:1.6	Jesus defends Mary	Mark 14:6	S
1879:38-39	172:1.7	Judas decides on betrayal	Matthew 26:14	S
1879:38-39	172:1.7	Judas decides on betrayal	Mark 14:10	S
1879:38-39	172:1.7	Judas decides on betrayal	Luke 22:3	S
1879:42-44	172:1.7	Cost of ointment	Matthew 26:7	S
1879:42-44	172:1.7	Cost of ointment	Mark 14:3	S
1879:42-44	172:1.7	Cost of ointment	John 12:3	S
1880:02-07	172:1.9	Plot death of Lazarus	John 12:10	S
1881:12-18	172:3.4	Planning entry into Jerusalem	Matthew 21:4	S
1881:12-18	172:3.4	Planning entry into Jerusalem	John 12:14	S
1881:16-18	172:3.4	Enter on colt	Zechariah 9:9	R
1881:27-32	172:3.6	Apostles sent for colt	Matthew 21:1	S
1881:27-32	172:3.6	Apostles sent for colt	Mark 11:1	S
1881:27-32	172:3.6	Apostles sent for colt	Luke 19:29	S
1881:33-38	172:3.6	Apostles retrieve colt	Matthew 21:6	S
1881:33-38	172:3.6	Apostles retrieve colt	Mark 11:6	S
1881:33-38	172:3.6	Apostles retrieve colt	Luke 19:32	S
1881:39-46	172:3.7	Crowds gather	John 12:17	S
1882:12	172:3.9	Blessed is he who comes --	Psalms 118:26	R
1882:06-13	172:3.9	Triumphful entry into Jerusalem	Mark 11:7	S
1882:06-13	172:3.9	Triumphful entry into Jerusalem	Luke 19:35	S
1882:06-13	172:3.9	Triumphful entry into Jerusalem	John 12:12	S
1882:06-13	172:3.9	Triumphful entry into Jerusalem	Matthew 21:7	S
1882:16-27	172:3.10	Jesus' lament for Jerusalem	Luke 19:41	S
1882:40-45	172:3.13	Jesus defends entry	Luke 19:39	S
1882:46-50	172:3.14	Pharisees report to Sanhedrin	Luke 12:19	S
1883:09-11	172:3.16	Many ask "Who is Jesus?"	Matthew 21:10	S
1883:13-15	172:4.1	Jesus visits temple	Mark 11:11	S
1883:26-34	172:4.2	The widow's mite	Mark 12:41	S
1883:26-34	172:4.2	The widow's mite	Luke 21:1	S
1883:35-40	172:4.3	To Bethany	Mark 11:11	S
1883:41	172:5.0	The Apostles' attitude	John 12:16	S
1884:49-50	172:5.5	Zechariah's prophecy	Zechariah 9:9	R
1885:38-39	172:5.8	Zechariah's prophecy fulfilled	Zechariah 9:9	S
1888:03-05	173:0.1	Jesus goes to Jerusalem	John 2:13	S
1888:04-05	173:0.1	Jesus goes to Jerusalem	Mark 11:12	S
1888:17-18	173:0.3	Arrival at temple	Matthew 21:12	S
1888:17-18	173:0.3	Arrival at temple	Mark 11:15	S
1888:17-18	173:0.3	Arrival at temple	Luke 19:45	S
1888:23-25	173:1.1	Commerce in Temple courts	John 2:14	S
1888:26-27	173:1.1	Sacrifice animals "without blemish"+	Leviticus 22:18	C
1888:33-35	173:1.1	Sale of unblemished animals	John 2:14	S
1888:33-35	173:1.1	Sale of unblemished animals	Luke 19:45	S
1888:33-35	173:1.1	Sale of unblemished animals	Mark 11:15	S
1888:33-35	173:1.1	Sale of unblemished animals	Matthew 21:12	S
1889:10-13	173:1.3	Money changers	Matthew 21:12	S
1889:10-13	173:1.3	Money changers	Mark 11:15	S
1889:10-13	173:1.3	Money changers	Luke 19:45	S
1889:10-13	173:1.3	Money changers	John 2:14	S
1890:11-25	173:1.7	Jesus cleanses temple	Matthew 21:12	S
1890:11-25	173:1.7	Jesus cleanses temple	Mark 11:15	S
1890:11-25	173:1.7	Jesus cleanses temple	Luke 19:45	S
1890:11-25	173:1.7	Jesus cleanses temple	John 2:15	S
1890:24-25	173:1.7	Father's a house of prayer	Isaiah 56:7	R
1890:24-25	173:1.7	Father's house: den of thieves	Jeremiah 7:11	R
1890:26-32	173:1.8	Hymns of appreciation	Matthew 21:15	S
1890:32	173:1.8	Out of mouths of babes	Psalms 8:2	R
1890:36-42	173:1.9	Officials angry, plot Jesus' death	Mark 11:18	S
1890:36-42	173:1.9	Officials angry, plot Jesus' death	Luke 19:47	S
1891:28-32	173:2.2	"By what authority...do things?"	Matthew 21:23	S
1891:28-32	173:2.2	"By what authority...do things?"	Mark 11:27	S
1891:28-32	173:2.2	"By what authority...do things?"	Luke 20:1	S
1891:28-32	173:2.2	Show us a sign	John 2:18	S
1892:06-09	173:2.4	Jesus asks questions	Matthew 21:24	S
1892:06-09	173:2.4	Jesus asks questions	Mark 11:29	S
1892:06-09	173:2.4	Jesus asks questions	Luke 20:3	S
1892:10-24	173:2.5	Gets no answers	Matthew 21:25	S
1892:10-24	173:2.5	Gets no answers	Mark 11:31	S
1892:10-24	173:2.5	Gets no answers	Luke 20:5	S
1893:05-12	173:3.1	Parable of two sons (part 1)	Matthew 21:28	S
1893:13-20	173:3.2	Parable of two sons (part 2)	Matthew 21:31	S
1893:45-60	173:4.2	Parable of absent landlord (part 1)	Mark 12:1	S
1893:45-60	173:4.2	Parable of absent landlord (part 1)	Luke 20:9	S
1893:45-60	173:4.2	Parable of absent landlord (part 1)	Matthew 21:33	S
1894:11-13	173:4.3	Parable of absent landlord (part 2)	Matthew 21:41	S
1894:11-13	173:4.3	Parable of absent landlord (part 2)	Mark 12:9	S
1894:11-17	173:4.3	Parable of absent landlord (part 3)	Luke 20:16	S
1894:18-24	173:4.4	Parable of rejected stone	Mark 12:10	S
1894:18-30	173:4.4	Parable of rejected stone	Matthew 21:42	S
1894:18-30	173:4.4	Parable of rejected stone	Luke 20:17	S
1894:23-24	173:4.4	Becomes cornerstone	Psalms 118:22	C
1894:29-30	173:4.4	Stone falls, breaks, etc.	Daniel 2:35	C
1894:31-33	173:4.5	Pharisees fear people	Matthew 21:45	S
1894:31-33	173:4.5	Pharisees fear people	Mark 12:12	S
1894:31-33	173:4.5	Pharisees fear people	Luke 21:19	S
1894:38-39	173:5.1	Jesus speaks parable	Matthew 22:1	S
1894:40-48	173:5.2	Parable of marriage feast (part 1)	Matthew 22:2	S
1894:40-48	173:5.2	Parable of marriage feast (part 1)	Luke 14:16	S
1895:02-12	173:5.2	Parable of marriage feast (part 2)	Matthew 22:5	S
1895:13-21	173:5.3	Parable of marriage feast (part 3)	Matthew 22:8	S
1895:13-21	173:5.3	Parable of marriage feast (part 3)	Luke 14:21	S
1895:21-29	173:5.3	No wedding garment	Matthew 22:11	S
1895:30-41	173:5.4	Only sign: resurrection on 3d day	John 2:18	S
1895:42-44	173:5.5	Jesus to Bethany for night	Luke 21:37	S
1895:42-44	173:5.5	Jesus to Bethany for night	Mark 11:19	S
1905:03-06	174:0.1	Jesus' last talk in temple	Matthew 23:1	S
1897:11	174:0.2	Be not dismayed by future events	Isaiah 41:10	C
1897:11	174:0.2	Be not dismayed by future events	Jeremiah 46:27	C
1897:13	174:0.2	Trust not the arm of flesh	2 Chronicles 32:8	C
1897:14	174:0.2	Foundations of rock	Matthew 16:18	S
1897:15	174:0.2	Ignore outward appearances	1 Samuel 16:7	C
1897:15	174:0.2	Ignore outward appearances	2 Corinthians 10:7	C
1897:16	174:0.2	Know reality of your beliefs	John 1:12	S
1897:16	174:0.2	Be gentle	2 Timothy 2:24	C
1897:16-17	174:0.2	Love your enemies	Matthew 5:44	S
1897:16-17	174:0.2	Love your enemies	Luke 6:27	S
1897:18	174:0.2	I trusted you with many things	Matthew 25:21	S
1897:18	174:0.2	Appearances deceiving	John 7:24	S
1897:18-19	174:0.2	Remain firm in your faith	Hebrews 3:6	C
1897:19-20	174:0.2	Commission as ambassadors	2 Corinthians 5:20	C
1897:21	174:0.2	Be unmoved, unshaken, by events	Hebrews 3:14	C
1897:23	174:0.2	Keep eternal reward	Colossians 2:18	C
1897:23	174:0.2	Keep eternal reward	Colossians 3:24	C
1897:24	174:0.2	Be you steadfast	1 Corinthians 15:58	C
1897:24	174:0.2	Be you steadfast	1 Peter 5:8	C
1897:25-26	174:0.2	Walk by faith, not sight	2 Corinthians 5:7	C
1897:26	174:0.2	I am able to finish work	John 4:34	S
1897:26	174:0.2	I am able to finish work	John 9:4	S
1897:26	174:0.2	I am able to finish work	John 17:4	S
1897:26	174:0.2	I am able to finish work	John 19:30	S
1897:33	174:0.2	My spirit will teach you	John 14:26	S
1897:34	174:0.2	Seek true realities of spirit	Matthew 6:33	S
1897:34	174:0.2	Seek true realities of spirit	Luke 12:31	S
1897:36	174:0.2	Be not weary in well doing	Galatians 6:9	C
1897:36	174:0.2	Be not weary in well doing	2 Thessalonians 3:13	C
1899:02-09	174:2.1	Religious leaders plot to discredit	Matthew 22:15	S
1899:02-09	174:2.1	Religious leaders plot to discredit	Mark 12:13	S
1899:02-09	174:2.1	Religious leaders plot to discredit	Luke 20:20	S
1899:18	174:2.2	Jesus is no respecter of persons	Acts of the Apostles 10:34	C
1899:18	174:2.2	Jesus is no respecter of persons	Ephesians 6:9	C
1899:18	174:2.2	Jesus is no respecter of persons	Galatians 2:6	C
1899:18	174:2.2	Jesus is no respecter of persons	Job 34:19	C
1899:18	174:2.2	Jesus is no respecter of persons	Romans 2:11	C
1899:18	174:2.2	Jesus is no respecter of persons	Sirach 35:12	C
1899:18	174:2.2	Jesus is no respecter of persons	2 Chronicles 19:7	C
1899:18	174:2.2	Jesus is no respecter of persons	Galatians 3:28	C
1899:18	174:2.2	Jesus is no respecter of persons	Colossians 3:11	C
1899:18	174:2.2	Jesus is no respecter of persons	Matthew 22:16	S
1899:18	174:2.2	Jesus is no respecter of persons	Mark 12:14	S
1899:18	174:2.2	Jesus is no respecter of persons	Luke 20:21	S
1899:20-26	174:2.2	Render unto Caesar / God	Luke 20:22	S
1899:20-26	174:2.2	Render unto Caesar / God	Mark 12:14	S
1899:20-26	174:2.2	Render unto Caesar / God	Matthew 22:17	S
1899:13-26	174:2.2	Jesus questioned by students	Matthew 22:16	S
1899:13-26	174:2.2	Jesus questioned by students	Mark 12:14	S
1899:13-26	174:2.2	Jesus questioned by students	Luke 20:21	S
1899:27-30	174:2.3	Challengers withdraw	Matthew 22:22	S
1899:27-30	174:2.3	Challengers withdraw	Mark 12:17	S
1899:27-30	174:2.3	Challengers withdraw	Luke 20:26	S
1900:04-06	174:3.1	Moses' teaching about sex	Deuteronomy 25:5	S
1900:02-12	174:3.1	Question on resurrection	Matthew 22:23	S
